Cliente_ID,Genero,Adulto_Mayor,Pareja,Cargas,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivos,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Fuga,Cargo_Mensual,Cargo_Total,Comuna
3655-SNQYZ,Femenino,0,Si,Si,69,Si,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Plan 24 Meses,No,PAT (Tarjeta Credito),No,56625.0,3947575.0,Hualpen
8191-XWSZG,Femenino,0,No,No,52,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,No,Caja Vecina/Servipag,No,10325.0,511475.0,Concepcion
9959-WOFKT,Masculino,0,No,Si,71,Si,Si,Fibra Optica,Si,No,Si,No,Si,Si,Plan 24 Meses,No,PAC (Cta Cte),No,53350.0,3691125.0,Concepcion
4190-MFLUW,Femenino,0,Si,Si,10,Si,No,ADSL/Cobre,No,No,Si,Si,No,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),Si,27600.0,264175.0,Talcahuano
4183-MYFRB,Femenino,0,No,No,21,Si,No,Fibra Optica,No,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,45025.0,931450.0,San Pedro de la Paz
8779-QRDMV,Masculino,1,No,No,1,No,Sin linea,ADSL/Cobre,No,No,Si,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,19825.0,19825.0,Chiguayante
1680-VDCWW,Masculino,0,Si,No,12,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,No,PAC (Cta Cte),No,9900.0,101125.0,Chiguayante
1066-JKSGK,Masculino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,Si,10075.0,10075.0,San Pedro de la Paz
3638-WEABW,Femenino,0,Si,No,58,Si,Si,ADSL/Cobre,No,Si,No,Si,No,No,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,29950.0,1752550.0,Concepcion
6322-HRPFA,Masculino,0,Si,Si,49,Si,No,ADSL/Cobre,Si,Si,No,Si,No,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,29800.0,1485150.0,Hualpen
6865-JZNKO,Femenino,0,No,No,30,Si,No,ADSL/Cobre,Si,Si,No,No,No,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,27650.0,765300.0,Chiguayante
6467-CHFZW,Masculino,0,Si,Si,47,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,49675.0,2374575.0,Concepcion
8665-UTDHZ,Masculino,0,Si,Si,1,No,Sin linea,ADSL/Cobre,No,Si,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,15100.0,15100.0,Talcahuano
5248-YGIJN,Masculino,0,Si,No,72,Si,Si,ADSL/Cobre,Si,Si,Si,Si,Si,Si,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,45125.0,3184725.0,Chiguayante
8773-HHUOZ,Femenino,0,No,Si,17,Si,No,ADSL/Cobre,No,No,No,No,Si,Si,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,Si,32350.0,546550.0,Hualpen
3841-NFECX,Femenino,1,Si,No,71,Si,Si,Fibra Optica,Si,Si,Si,Si,No,No,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,48175.0,3383475.0,San Pedro de la Paz
4929-XIHVW,Masculino,1,Si,No,2,Si,No,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,47750.0,90825.0,Talcahuano
6827-IEAUQ,Femenino,0,Si,Si,27,Si,No,ADSL/Cobre,Si,Si,Si,Si,No,No,Plan 12 Meses,No,Caja Vecina/Servipag,No,33075.0,937225.0,Talcahuano
7310-EGVHZ,Masculino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,PAC (Cta Cte),No,10100.0,10100.0,Concepcion
3413-BMNZE,Masculino,1,No,No,1,Si,No,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,No,PAC (Cta Cte),No,22625.0,22625.0,Concepcion
6234-RAAPL,Femenino,0,Si,Si,72,Si,Si,Fibra Optica,Si,Si,No,Si,Si,No,Plan 24 Meses,No,PAC (Cta Cte),No,49950.0,3625850.0,Talcahuano
6047-YHPVI,Masculino,0,No,No,5,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,34850.0,158450.0,Hualpen
6572-ADKRS,Femenino,0,No,No,46,Si,No,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,37400.0,1774150.0,Chiguayante
5380-WJKOV,Masculino,0,No,No,34,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,53175.0,1774625.0,Concepcion
8168-UQWWF,Femenino,0,No,No,11,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),Si,48925.0,552700.0,Concepcion
8865-TNMNX,Masculino,0,Si,Si,10,Si,No,ADSL/Cobre,No,Si,No,No,No,No,Plan 12 Meses,No,Caja Vecina/Servipag,No,24775.0,237850.0,Talcahuano
9489-DEDVP,Femenino,0,Si,Si,70,Si,Si,ADSL/Cobre,Si,Si,No,No,Si,No,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,34600.0,2436175.0,Talcahuano
9867-JCZSP,Femenino,0,Si,Si,17,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,No,Caja Vecina/Servipag,No,10375.0,209125.0,Talcahuano
4671-VJLCL,Femenino,0,No,No,63,Si,Si,ADSL/Cobre,Si,Si,Si,Si,Si,No,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,39925.0,2430725.0,Talcahuano
4080-IIARD,Femenino,0,Si,No,13,Si,Si,ADSL/Cobre,Si,Si,No,Si,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,38100.0,490725.0,Concepcion
3714-NTNFO,Femenino,0,No,No,49,Si,Si,Fibra Optica,No,No,No,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,42250.0,1953350.0,Talcahuano
5948-UJZLF,Masculino,0,No,No,2,Si,No,ADSL/Cobre,No,Si,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,24625.0,48500.0,Chiguayante
7760-OYPDY,Femenino,0,No,No,2,Si,No,Fibra Optica,No,No,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,40325.0,72075.0,San Pedro de la Paz
7639-LIAYI,Masculino,0,No,No,52,Si,Si,ADSL/Cobre,Si,No,No,Si,Si,Si,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,39875.0,2108900.0,Chiguayante
2954-PIBKO,Femenino,0,Si,Si,69,Si,Si,ADSL/Cobre,Si,No,Si,Si,No,No,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,32075.0,2127050.0,Talcahuano
8012-SOUDQ,Femenino,1,No,No,43,Si,Si,Fibra Optica,No,Si,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,45125.0,1919375.0,San Pedro de la Paz
9420-LOJKX,Femenino,0,No,No,15,Si,No,Fibra Optica,Si,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,49550.0,713200.0,Concepcion
6575-SUVOI,Femenino,1,Si,No,25,Si,Si,ADSL/Cobre,Si,No,No,Si,Si,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,34750.0,876325.0,Hualpen
7495-OOKFY,Femenino,1,Si,No,8,Si,Si,Fibra Optica,No,Si,No,No,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,40325.0,316650.0,Chiguayante
4667-QONEA,Femenino,1,Si,Si,60,Si,No,ADSL/Cobre,Si,Si,Si,Si,No,Si,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,37425.0,2228175.0,Hualpen
1658-BYGOY,Masculino,1,No,No,18,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,47725.0,876275.0,Talcahuano
8769-KKTPH,Femenino,0,Si,Si,63,Si,Si,Fibra Optica,Si,No,No,No,Si,Si,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,49825.0,3155600.0,San Pedro de la Paz
5067-XJQFU,Masculino,1,Si,Si,66,Si,Si,Fibra Optica,No,Si,Si,Si,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,54225.0,3538175.0,Talcahuano
3957-SQXML,Femenino,0,Si,Si,34,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,12475.0,447150.0,Talcahuano
5954-BDFSG,Femenino,0,No,No,72,Si,Si,Fibra Optica,No,No,Si,Si,Si,Si,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,53750.0,3926850.0,Concepcion
0434-CSFON,Femenino,0,Si,No,47,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,50250.0,2353550.0,Concepcion
1215-FIGMP,Masculino,0,No,No,60,Si,Si,Fibra Optica,No,Si,No,No,Si,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,44950.0,2725350.0,Concepcion
0526-SXDJP,Masculino,0,Si,No,72,No,Sin linea,ADSL/Cobre,Si,Si,Si,No,No,No,Plan 24 Meses,No,PAC (Cta Cte),No,21050.0,1481000.0,Chiguayante
0557-ASKVU,Femenino,0,Si,Si,18,Si,No,ADSL/Cobre,No,No,Si,Si,No,No,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,27200.0,478550.0,Hualpen
5698-BQJOH,Femenino,0,No,No,9,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,47200.0,428625.0,Concepcion
5122-CYFXA,Femenino,0,No,No,3,Si,No,ADSL/Cobre,No,Si,No,Si,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,37650.0,122050.0,Chiguayante
8627-ZYGSZ,Masculino,0,Si,No,47,Si,Si,Fibra Optica,No,Si,No,No,No,No,Plan 12 Meses,Si,Transferencia/Webpay,No,39450.0,1825175.0,San Pedro de la Paz
3410-YOQBQ,Femenino,0,No,No,31,Si,No,ADSL/Cobre,No,Si,Si,Si,Si,Si,Plan 24 Meses,No,Caja Vecina/Servipag,No,39600.0,1248600.0,San Pedro de la Paz
3170-NMYVV,Femenino,0,Si,Si,50,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,10075.0,465450.0,Hualpen
7410-OIEDU,Masculino,0,No,No,10,Si,No,Fibra Optica,Si,No,Si,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,39925.0,443675.0,Concepcion
2273-QCKXA,Masculino,0,No,No,1,Si,No,ADSL/Cobre,No,No,No,Si,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,24525.0,24525.0,Hualpen
0731-EBJQB,Femenino,0,Si,Si,52,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,Si,Transferencia/Webpay,No,10200.0,545325.0,Concepcion
1891-QRQSA,Masculino,1,Si,Si,64,Si,Si,Fibra Optica,Si,No,Si,Si,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),No,55800.0,3549500.0,Concepcion
8028-PNXHQ,Masculino,0,Si,Si,62,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,PAC (Cta Cte),No,12125.0,712300.0,Chiguayante
5630-AHZIL,Femenino,0,No,Si,3,Si,No,ADSL/Cobre,Si,No,No,Si,No,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,32250.0,88700.0,San Pedro de la Paz
2673-CXQEU,Femenino,1,No,No,56,Si,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Plan 12 Meses,No,Transferencia/Webpay,No,55250.0,3069750.0,Chiguayante
6416-JNVRK,Femenino,0,No,No,46,Si,No,ADSL/Cobre,No,No,No,No,No,Si,Plan 12 Meses,No,PAT (Tarjeta Credito),No,27825.0,1344425.0,Hualpen
5590-ZSKRV,Femenino,0,Si,Si,8,Si,No,ADSL/Cobre,Si,Si,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,27325.0,241125.0,Talcahuano
0191-ZHSKZ,Masculino,1,No,No,30,Si,No,ADSL/Cobre,Si,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,37375.0,1055650.0,Hualpen
3887-PBQAO,Femenino,0,Si,Si,45,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,12950.0,608300.0,San Pedro de la Paz
5919-TMRGD,Femenino,0,No,Si,1,Si,No,Fibra Optica,No,No,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,39675.0,39675.0,Concepcion
8108-UXRQN,Femenino,0,Si,Si,11,No,Sin linea,ADSL/Cobre,Si,No,No,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,No,25275.0,282675.0,Hualpen
9191-MYQKX,Femenino,0,Si,No,7,Si,No,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),Si,37575.0,248450.0,San Pedro de la Paz
9919-YLNNG,Femenino,0,No,No,42,Si,No,Fibra Optica,No,Si,Si,Si,Si,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,51900.0,2163750.0,Concepcion
0318-ZOPWS,Femenino,0,Si,No,49,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,PAC (Cta Cte),No,10075.0,486675.0,Hualpen
4445-ZJNMU,Masculino,0,No,No,9,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,49650.0,459375.0,Chiguayante
4808-YNLEU,Femenino,0,Si,No,35,Si,No,ADSL/Cobre,Si,No,No,No,Si,No,Plan 12 Meses,Si,PAC (Cta Cte),No,31075.0,1107725.0,Talcahuano
1862-QRWPE,Femenino,0,Si,Si,48,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,10325.0,528500.0,Chiguayante
2796-NNUFI,Femenino,0,Si,Si,46,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,Caja Vecina/Servipag,No,9975.0,463550.0,Chiguayante
3016-KSVCP,Masculino,0,Si,No,29,No,Sin linea,ADSL/Cobre,No,No,No,No,Si,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,16875.0,504625.0,Talcahuano
4767-HZZHQ,Masculino,0,Si,Si,30,Si,No,Fibra Optica,No,Si,Si,No,No,No,Sin Contrato/Prepago,No,PAC (Cta Cte),No,41025.0,1285100.0,Concepcion
2424-WVHPL,Masculino,1,No,No,1,Si,No,Fibra Optica,No,No,No,Si,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,37350.0,37350.0,Chiguayante
7233-PAHHL,Masculino,0,Si,Si,66,Si,Si,ADSL/Cobre,Si,No,Si,Si,Si,Si,Plan 24 Meses,Si,Caja Vecina/Servipag,No,42000.0,2857125.0,Hualpen
6067-NGCEU,Femenino,0,No,No,65,Si,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,55525.0,3553500.0,San Pedro de la Paz
9848-JQJTX,Masculino,0,No,No,72,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),No,50450.0,3729525.0,Chiguayante
8637-XJIVR,Femenino,0,No,No,12,Si,Si,Fibra Optica,Si,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,39475.0,463675.0,San Pedro de la Paz
9803-FTJCG,Masculino,0,Si,Si,71,Si,Si,ADSL/Cobre,Si,Si,No,Si,No,No,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,33425.0,2374350.0,Talcahuano
0278-YXOOG,Masculino,0,No,No,5,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,Si,10525.0,56925.0,San Pedro de la Paz
3212-KXOCR,Masculino,0,No,No,52,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,10500.0,553600.0,San Pedro de la Paz
4598-XLKNJ,Femenino,1,Si,No,25,Si,No,Fibra Optica,No,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,49250.0,1257250.0,San Pedro de la Paz
6380-ARCEH,Masculino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10100.0,10100.0,Chiguayante
3679-XASPY,Femenino,0,Si,Si,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Transferencia/Webpay,No,9725.0,9725.0,Concepcion
7123-WQUHX,Masculino,0,No,No,38,Si,Si,Fibra Optica,No,No,Si,Si,Si,No,Plan 12 Meses,No,PAC (Cta Cte),No,47500.0,1802800.0,Concepcion
5386-THSLQ,Femenino,1,Si,No,66,No,Sin linea,ADSL/Cobre,No,Si,Si,No,Si,No,Plan 12 Meses,No,PAC (Cta Cte),No,22775.0,1513625.0,Talcahuano
3192-NQECA,Masculino,0,Si,No,68,Si,Si,Fibra Optica,No,Si,Si,Si,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),Si,55000.0,3805925.0,Talcahuano
6180-YBIQI,Masculino,0,No,No,5,No,Sin linea,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,12150.0,50100.0,Chiguayante
6728-DKUCO,Femenino,0,Si,Si,72,Si,Si,Fibra Optica,Si,Si,No,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,52075.0,3651525.0,San Pedro de la Paz
9750-BOOHV,Femenino,0,No,No,32,No,Sin linea,ADSL/Cobre,Si,No,No,No,No,No,Plan 12 Meses,No,Caja Vecina/Servipag,No,15075.0,463825.0,Hualpen
8597-CWYHH,Masculino,0,No,No,43,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Plan 12 Meses,No,Caja Vecina/Servipag,No,47175.0,1960650.0,Concepcion
2848-YXSMW,Masculino,0,Si,Si,72,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,9700.0,681625.0,Chiguayante
0486-HECZI,Masculino,0,Si,No,55,Si,Si,Fibra Optica,Si,Si,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,48375.0,2619450.0,San Pedro de la Paz
4549-ZDQYY,Femenino,0,No,No,52,Si,No,ADSL/Cobre,Si,No,Si,Si,No,No,Plan 12 Meses,No,PAT (Tarjeta Credito),No,28975.0,1521125.0,Hualpen
5712-AHQNN,Femenino,0,No,No,43,Si,No,Fibra Optica,No,Si,Si,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,45825.0,1977050.0,San Pedro de la Paz
4846-WHAFZ,Femenino,1,Si,No,37,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,38250.0,1434075.0,Concepcion
5256-SKJGO,Femenino,0,Si,Si,64,No,Sin linea,ADSL/Cobre,No,Si,No,Si,Si,Si,Plan 24 Meses,Si,Transferencia/Webpay,No,27300.0,1711750.0,San Pedro de la Paz
3071-VBYPO,Masculino,0,Si,Si,3,Si,No,Fibra Optica,Si,Si,No,No,Si,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,44925.0,124200.0,San Pedro de la Paz
9560-BBZXK,Femenino,0,No,No,36,No,Sin linea,ADSL/Cobre,Si,No,No,No,No,No,Plan 24 Meses,No,PAC (Cta Cte),No,15525.0,563175.0,Chiguayante
5299-RULOA,Femenino,0,Si,Si,10,Si,Si,Fibra Optica,Si,No,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,50125.0,532325.0,San Pedro de la Paz
8402-OOOHJ,Femenino,0,No,No,41,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,Caja Vecina/Servipag,No,10325.0,417575.0,Chiguayante
9445-ZUEQE,Masculino,0,Si,Si,27,Si,Si,Fibra Optica,No,Si,No,Si,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,42600.0,1075800.0,Concepcion
1091-SOZGA,Femenino,0,Si,Si,56,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,49900.0,2757725.0,Concepcion
2928-HLDBA,Femenino,0,No,No,6,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10350.0,56375.0,Concepcion
0404-SWRVG,Masculino,0,No,No,3,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,37200.0,114775.0,Concepcion
6497-TILVL,Femenino,0,Si,Si,7,Si,No,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,25350.0,175175.0,San Pedro de la Paz
7219-TLZHO,Femenino,0,Si,Si,4,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10425.0,31450.0,Concepcion
4622-YNKIJ,Masculino,0,No,No,33,Si,No,Fibra Optica,Si,No,No,Si,Si,No,Plan 24 Meses,Si,Transferencia/Webpay,No,44475.0,1513825.0,San Pedro de la Paz
4412-YLTKF,Femenino,1,No,No,27,Si,Si,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,39025.0,1067750.0,Concepcion
6734-PSBAW,Masculino,0,Si,No,72,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,PAC (Cta Cte),No,11775.0,861975.0,Hualpen
3930-ZGWVE,Masculino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,9875.0,9875.0,Concepcion
2639-UGMAZ,Masculino,1,No,No,71,No,Sin linea,ADSL/Cobre,Si,Si,No,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,28225.0,1992675.0,Chiguayante
2876-GZYZC,Femenino,0,No,No,13,Si,Si,Fibra Optica,No,No,No,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,42975.0,607825.0,Concepcion
6207-WIOLX,Femenino,0,Si,Si,25,No,Sin linea,ADSL/Cobre,Si,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,29300.0,751325.0,Talcahuano
8587-XYZSF,Masculino,0,No,No,67,Si,No,ADSL/Cobre,No,No,No,Si,No,No,Plan 24 Meses,No,PAC (Cta Cte),No,25275.0,1630050.0,Talcahuano
3091-FYHKI,Masculino,0,No,No,1,No,Sin linea,ADSL/Cobre,No,No,No,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,17725.0,17725.0,Talcahuano
